2026-01-02 08:10:11,Primary Job,2026-01-02,8200.00,Monthly salary
2026-01-03 18:02:31,Groceries,2026-01-03,710.50,Large grocery shopping
2026-01-05 09:01:22,Rent,2026-01-05,2400.00,Apartment rent
2026-01-06 10:21:55,Transport,2026-01-06,110.00,Public transport pass
2026-01-08 20:11:10,Subscriptions,2026-01-08,35.00,Online service
2026-01-10 21:30:12,Eating Out,2026-01-10,320.00,Dinner with friends
2026-01-12 19:45:02,Entertainment,2026-01-12,140.00,Cinema
2026-01-15 19:11:02,Shopping,2026-01-15,80.00,Clothes
2026-02-02 08:10:11,Primary Job,2026-02-02,7900.00,Monthly salary
2026-02-04 18:02:31,Groceries,2026-02-04,520.30,Food shopping
2026-02-05 09:01:22,Rent,2026-02-05,2400.00,Apartment rent
2026-02-06 10:21:55,Utilities,2026-02-06,350.00,Utility bill
2026-02-07 21:12:10,Eating Out,2026-02-07,140.00,Restaurant
2026-02-09 20:11:10,Subscriptions,2026-02-09,45.00,Subscription renewal
2026-02-11 19:45:02,Entertainment,2026-02-11,260.00,Concert ticket
2026-02-14 19:11:02,Shopping,2026-02-14,210.00,Clothes purchase
2026-03-02 08:10:11,Primary Job,2026-03-02,9500.00,Salary with bonus
2026-03-03 18:02:31,Groceries,2026-03-03,630.00,Food shopping
2026-03-05 09:01:22,Rent,2026-03-05,2400.00,Apartment rent
2026-03-06 10:21:55,Transport,2026-03-06,110.00,Public transport pass
2026-03-07 20:11:10,Eating Out,2026-03-07,90.00,Quick dinner
2026-03-09 19:45:02,Entertainment,2026-03-09,60.00,Cinema
2026-03-10 19:11:02,Shopping,2026-03-10,40.00,Small item
2026-03-12 21:01:01,Side Work,2026-03-12,600.00,Extra work
2026-03-18 21:01:01,Other Income,2026-03-18,250.00,Refund
