2025-01-02 08:11:02,Primary Job,2025-01-02,7800.00,Monthly salary
2025-01-03 17:21:11,Groceries,2025-01-03,145.60,Food shopping
2025-01-05 09:02:41,Rent,2025-01-05,2200.00,Apartment rent
2025-01-06 10:22:55,Transport,2025-01-06,110.00,Public transport pass
2025-01-08 21:05:33,Subscriptions,2025-01-08,35.00,Online subscription
2025-01-10 20:15:18,Eating Out,2025-01-10,92.00,Restaurant visit
2025-01-12 18:02:19,Entertainment,2025-01-12,70.00,Cinema
2025-02-02 08:11:02,Primary Job,2025-02-02,7800.00,Monthly salary
2025-02-03 17:21:11,Groceries,2025-02-03,152.40,Food shopping
2025-02-05 09:02:41,Rent,2025-02-05,2200.00,Apartment rent
2025-02-06 10:22:55,Utilities,2025-02-06,290.00,Utility bill
2025-03-02 08:11:02,Primary Job,2025-03-02,7800.00,Monthly salary
2025-03-03 17:21:11,Groceries,2025-03-03,168.90,Food shopping
2025-03-05 09:02:41,Rent,2025-03-05,2200.00,Apartment rent
2025-03-07 10:22:55,Transport,2025-03-07,110.00,Public transport pass
2025-03-15 19:45:18,Shopping,2025-03-15,180.00,Clothing purchase
